user_id,comment_text,date_created,num_likes,num_replies
pfbid02QbSc7Zs4wR67DWEXtcGGyDdP6MjktDUBe7MHb2bNJQZsTgRbJ4dPQNeSXudv6w8rl,Joy House,"""2024-01-12T13:41:08.000Z""",0,1
pfbid02DAD4uXif7L2ibVx7zZ4B8vbza7Tqrqzdn1kF3T1qkUSX1otAu4uMvHoXyA1YtezYl,"Yet if a Verizon customer travels outside of the USA and loses their phone, they are screwed because Verizon will not help.","""2024-01-19T22:33:51.000Z""",0,1
pfbid02DVKaLESKQqoYHcmo2HeMBuUs2JNK18KZDMa1hMLfh4TiGJPQ9ByYkarcYSh4QmdVl,Where is the 5g we was promised 2 years ago,"""2024-01-16T01:39:54.000Z""",0,1
pfbid0WfY4JxPXbR2Xp4tsUCaaVtwGqwArAbCEL3BM7QXS5X496Gu23LQe1H1KhptCVnoFl,"Your customer service may be the worst on earth. Today I tried to update my wireless account to the tune of an $8 per month increase. I have been an AT&T customer for over 30 years. I spent 4 hours in the store and on the phone with your “fraud” people giving them more information than my bank required for my first mortgage and they could not “identify” me. Needless to say, I could not make any change. What was worse was they refused to tell me what the problem was. How can I reach a solution to a problem when I don’t know what the problem is? Tomorrow I am filing a formal complaint with the NC Attorney General. I will be shopping for a new wireless provider as well.","""2024-02-06T02:46:19.000Z""",0,1
100004055062562,And what does this picture suppose to mean? That the man in the picture said what your caption says? Are you guys serious at all?,"""2024-11-28T08:40:43.000Z""",0,1
1363782034,AT&T - ty,"""2023-10-31T18:38:04.000Z""",0,1
100073728533089,Makes no sense,"""2024-03-04T14:43:56.000Z""",0,1
pfbid0g7mhRaoFr97FQ3g1z3GSA33y9jKGYJyaM1CPH3HmJUXn1FidUBo14AjX6X7RTVWSl,"ATT Business customer service is HORRIBLE!  Talked to them Feb. 2 to renew a business contract, this month get a bill for over $1100 (normal is around $300) because they never renewed the contract at the correct rates.  Spent 3 hours on the phone to finally get someone to help and they were able to renew the contract but did not provide all the services we were receiving so now we can not receive faxes.  Spent another 3 hours on the phone trying to get it straightened out and was told it was fixed and here it is 36 hours later and it is STILL NOT FIXED!!!","""2023-03-16T15:31:36.000Z""",0,1
1558253528,You suck #period #customerserviceblows,"""2024-02-20T13:12:51.000Z""",0,1
pfbid037DyeqVtsTVCaTMDsjkKAfivJAkF95BZZEE1XFKmtQE6E7huuj1QS8HYXpLbWVterl,Why did AT&T/Direct TV remove non Liberal stations from their channel availability.  It is not the cost as other more expensive liberal channels remain.,"""2023-02-15T18:11:09.000Z""",0,1
pfbid02PSpjAhqSnz2Nd3ewu6NYtJiug85wRRd8pvAkgutFJPbDHBA9XcWZSA9kxB8pzTdAl,Customer service is a joke,"""2023-07-02T14:54:36.000Z""",0,1
pfbid07NwCboDpHdTiyrdEMRoxvr4j8B4WWj1NvDxsCVXUk2aNr4z2reN2SzaiwngJFvQkl,Alysse,"""2024-01-12T13:33:16.000Z""",0,1
pfbid021bDpxLdMCpbMXApM4CWTs9tDoWf23FwDJ7aiMY4DwDfQK5wPcjddHj48udjpa3Ewl,Really!,"""2024-01-12T14:17:10.000Z""",0,1
pfbid037kLah5MKP7mBDqzXEP9LC3t6j2yaRchHuwCUkTFZGFzFQnmkmdrqS3iohrSRsXv2l,"I was ready to swap my iphone 11 I'd had for years and I'd done a trade in deal for a Samsung back in March of this year. I had the 2 weeks to turn in my iphone, like normal, and was told within 3 billing cycles after it was received I would get my credit. The recent shows AT&T received it on time in April but is 'still processing' here in December?! And yet, my bill sure as heck is delivered on time. How do I get my credit now? This is a violation of the contract I signed for the promotion and new phone.","""2024-12-04T04:20:09.000Z""",0,1
pfbid0SFz5ywx13fiuXc2XM2T9J9sGcpNGfNBAtiSx4esb3wcR3syyQXyjTzuxhSqgAB26l,U people should keep on dreaming wai u think election is won on social media right as Asiedu Nkatia said election is won at the polling station,"""2024-11-28T14:27:20.000Z""",0,1
pfbid024Aczdb73DZ69n8R9HRyiWiNG83VNDatkZxEaiTUri3HcgXhR6fWo3ikbovUkio7wl,Kristen Joy,"""2024-01-13T17:13:56.000Z""",0,1
pfbid0fYTkEXxtreYTq4ofWyeb6FhHsCPWwV958P13z5qcW7AH4xNDcJCC7wc6JijhYSytl,They stole 121$ from me and won’t refund the amount even when the order was never completed by the store and was canceled.,"""2024-01-27T18:57:06.000Z""",0,1
pfbid032PCTeSUJcppHT4kjWVNEeDHETqoiEt8S91qLNCGS6CUAedPzTitLP6UQKifTJyC4l,Laura Elizabeth,"""2024-01-12T21:11:48.000Z""",0,1
pfbid02foQCvdUS3C8LysS3WLQX3UtYR6ykf16Fm2uhe6zTPCi68uivdF5nstVhbxVivLgl,Knock Knock.  Have Att residential contact me.  My yard is damage from your contractors,"""2023-05-31T10:49:29.000Z""",0,1
pfbid02rM7FJDjYQg5tnaaqW4LtWzBUgcn4H7i2jrBtjWgMECWWR8RVJRpJuLk4eriNkX16l,Lacey Vandevander 😆,"""2024-01-13T17:15:31.000Z""",0,1
pfbid0eUDHUFQTXNW5dTZv6oXPhTF5GbLqasLJDjo47AjfMQ5UvbhwEUgK9u79SX6kkJ8Ml,"I’ve had AT&T for years. Most recently, the company had a manager STEAL a trade-in of mine and not make it right. They also sold me on changing my phone selling me my bill would go down, and it actually increased by 40%.","""2024-01-28T15:58:33.000Z""",0,1
pfbid02Hb55GCradkX5SosAdUcjvTwcjX5V96mgwvT5oQbFPbHr4rXa8J6mfmVPgAg5mYRKl,Kayla Cooler us forsure 😂,"""2024-01-13T03:03:27.000Z""",0,1
